date,admin1,admin2,market,latitude,longitude,category,commodity,unit,priceflag,pricetype,currency,price,usdprice
1/15/2009,Region X,Lanao del Norte,Tubod,8.219167,124.248889,cereals and tubers,Sweet potatoes,KG,actual,Retail,PHP,12.63,0.2673
1/15/2009,Region X,Lanao del Norte,Tubod,8.219167,124.248889,"meat, fish and eggs",Eggs,Unit,actual,Retail,PHP,4.46,0.0944
1/15/2009,Region X,Lanao del Norte,Tubod,8.219167,124.248889,"meat, fish and eggs",Fish (fresh),KG,actual,Retail,PHP,97.69,2.0675
1/15/2009,Region X,Lanao del Norte,Tubod,8.219167,124.248889,"meat, fish and eggs","Meat (beef, chops with bones)",KG,actual,Retail,PHP,144.31,3.0542
1/15/2009,Region X,Lanao del Norte,Tubod,8.219167,124.248889,"meat, fish and eggs","Meat (chicken, whole)",KG,actual,Retail,PHP,115.63,2.4472
1/15/2009,Region X,Lanao del Norte,Tubod,8.219167,124.248889,"meat, fish and eggs",Meat (pork),KG,actual,Retail,PHP,142.38,3.0133
1/15/2009,Region X,Lanao del Norte,Tubod,8.219167,124.248889,vegetables and fruits,Cabbage,KG,actual,Retail,PHP,35.62,0.7539
1/15/2009,Region X,Lanao del Norte,Tubod,8.219167,124.248889,vegetables and fruits,Carrots,KG,actual,Retail,PHP,44,0.9312
1/15/2009,Region X,Lanao del Norte,Tubod,8.219167,124.248889,vegetables and fruits,Onions (red),KG,actual,Retail,PHP,64.85,1.3725
1/15/2009,Region X,Lanao del Norte,Tubod,8.219167,124.248889,vegetables and fruits,Onions (white),KG,actual,Retail,PHP,62.77,1.3285
1/15/2009,Region X,Lanao del Norte,Tubod,8.219167,124.248889,vegetables and fruits,Tomatoes,KG,actual,Retail,PHP,33.8,0.7153
2/15/2009,Region X,Lanao del Norte,Tubod,8.219167,124.248889,cereals and tubers,Rice (paddy),KG,actual,Farm Gate,PHP,17.45,0.369
2/15/2009,Region X,Lanao del Norte,Tubod,8.219167,124.248889,cereals and tubers,Sweet potatoes,KG,actual,Retail,PHP,12.15,0.2569
2/15/2009,Region X,Lanao del Norte,Tubod,8.219167,124.248889,"meat, fish and eggs",Eggs,Unit,actual,Retail,PHP,4.51,0.0954
2/15/2009,Region X,Lanao del Norte,Tubod,8.219167,124.248889,"meat, fish and eggs",Fish (fresh),KG,actual,Retail,PHP,84.08,1.7778
2/15/2009,Region X,Lanao del Norte,Tubod,8.219167,124.248889,"meat, fish and eggs","Meat (beef, chops with bones)",KG,actual,Retail,PHP,143.33,3.0305
2/15/2009,Region X,Lanao del Norte,Tubod,8.219167,124.248889,"meat, fish and eggs","Meat (chicken, whole)",KG,actual,Retail,PHP,113.85,2.4072
2/15/2009,Region X,Lanao del Norte,Tubod,8.219167,124.248889,"meat, fish and eggs",Meat (pork),KG,actual,Retail,PHP,143.08,3.0253
2/15/2009,Region X,Lanao del Norte,Tubod,8.219167,124.248889,vegetables and fruits,Cabbage,KG,actual,Retail,PHP,45.17,0.9551
2/15/2009,Region X,Lanao del Norte,Tubod,8.219167,124.248889,vegetables and fruits,Carrots,KG,actual,Retail,PHP,42.67,0.9022
2/15/2009,Region X,Lanao del Norte,Tubod,8.219167,124.248889,vegetables and fruits,Onions (red),KG,actual,Retail,PHP,63.58,1.3443
2/15/2009,Region X,Lanao del Norte,Tubod,8.219167,124.248889,vegetables and fruits,Onions (white),KG,actual,Retail,PHP,62.92,1.3304
2/15/2009,Region X,Lanao del Norte,Tubod,8.219167,124.248889,vegetables and fruits,Tomatoes,KG,actual,Retail,PHP,32.62,0.6897
